title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
 موهبت,13,10,4.47, موهبت,ترسناک، علمی-تخیلی,آمریکا,1383,4.8,0,0,0,NULL,1
100 فصل 1 قسمت 1,74,46,23.09,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,1,1,1,NULL
100 فصل 1 قسمت 2,38,28,11.87,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,2,1,1,NULL
100 فصل 1 قسمت 3,27,17,9.77,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,3,1,1,NULL
100 فصل 1 قسمت 4,18,15,7.37,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,4,1,1,NULL
100 فصل 1 قسمت 5,19,14,6.69,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,5,1,1,NULL
100 فصل 1 قسمت 6,19,15,6.65,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,6,1,1,NULL
100 فصل 1 قسمت 7,14,12,8.46,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,7,1,1,NULL
100 فصل 1 قسمت 8,21,14,7.13,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,8,1,1,NULL
127 ساعت,5,1,1.06,127 ساعت,ماچراجویی,آمریکا,1388,7.6,0,0,0,NULL,1
22 جولای,4,4,1.09,22 جولای,جنایی، درام، هیجان انگیز,نروژ,1397,6.7,0,0,0,NULL,1
ابری با احتمال بارش کوفته قلقلی,121,56,31.41,ابری با احتمال بارش کوفته قلقلی,NULL,آمریکا,1388,0,0,0,0,NULL,1
ابری با احتمال بارش کوفته قلقلی قسمت 1,52,43,15.82,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,1,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 2,34,29,7.06,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,2,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 3,31,25,3.86,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,3,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 4,35,29,5.5,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,4,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 5,37,30,5.46,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,5,1,1,NULL
ابو زینب,24,11,6.41,ابو زینب,درام,ایران,1395,0,0,0,0,NULL,1
اتاق,18,7,5.33,اتاق,خانوادگی، اجتماعی,آمریکا,1394,8.2,0,0,0,NULL,1
اتاق پاکیزه,2,2,1.21,اتاق پاکیزه,NULL,آمریکا,1393,9.3,0,0,0,NULL,1
اتاق خالی,41,24,17.37,اتاق خالی,NULL,آمریکا,1386,6.2,0,0,0,NULL,1
اتحاد قهرمانان,590,251,168.75,اتحاد قهرمانان,اکشن,"چین ",1396,5.4,0,0,0,NULL,1
اتحاد قهرمانان,590,251,168.75,اتحاد قهرمانان,NULL,"چین ",1396,5.4,0,0,0,NULL,1
اثر پروانه ای 3,14,7,3.31,اثر پروانه ای 3,NULL,آمریکا,1388,5.6,0,0,0,NULL,1
احساس,137,68,48.33,احساس,NULL,هند,1380,5.8,0,0,0,NULL,1
احساس,137,68,48.33,احساس,NULL,هند,1380,5.8,0,0,0,NULL,1
اداره انسانی,14,11,6.19,اداره انسانی,اکشن، علمی-تخیلی، ماجراجویی,کانادا,1396,5,0,0,0,NULL,1
ارباب دزدان,5,4,3.37,ارباب دزدان,کودکان، خانوادگی,آلمان,1385,7.6,0,0,0,NULL,1
ارثیه پدری,63,28,18.45,ارثیه پدری,NULL,ایران,1395,0,0,0,0,NULL,1
ارمغان تاریکی قسمت 1,12,10,2.81,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,1,1,1,NULL
ارمغان تاریکی قسمت 15,1,1,0.04,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,15,1,1,NULL
ارمغان تاریکی قسمت 2,9,5,2.77,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,2,1,1,NULL
ارمغان تاریکی قسمت 3,2,2,0.86,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,3,1,1,NULL
ارمغان تاریکی قسمت 4,2,2,0.72,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,4,1,1,NULL
ارمغان تاریکی قسمت 5,3,3,0.51,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,5,1,1,NULL
ارمغان تاریکی قسمت 6,1,1,0.46,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,6,1,1,NULL
ارمغان تاریکی قسمت 7,1,1,0.44,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,7,1,1,NULL
ارمغان تاریکی قسمت 8,2,1,0.48,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,8,1,1,NULL
ارمغان تاریکی قسمت 9,1,1,0.12,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,9,1,1,NULL
ارمغان تاریکی قسمت22,2,2,0.1,"ارمغان تاریکی ",تاریخی،عاشقانه،انقلابی،سیاسی,ایران,1389,0,22,22,1,1,NULL
اروند,143,84,52.46,اروند,اکشن،تاریخی,"ایران ",1393,0,0,0,0,NULL,1
از نفس افتاده,2,1,0.31,از نفس افتاده,NULL,فرانسه,1339,7.9,0,0,0,NULL,1
ازدواج مشروط,155,62,43.19,ازدواج مشروط,NULL,ایران,1392,0,0,0,0,NULL,1
اژدهای پیت,75,34,15.74,اژدهای پیت,خیالی،ماجراجویی,"آمریکا ",1394,6.7,0,0,0,NULL,1
استفانی,207,124,71.18,استفانی,ترسناک، درام,آمریکا,1396,5.8,0,0,0,NULL,1
استند تاپ قسمت 1,65,57,14.92,"استند تاپ ",delete,delete,NULL,NULL,29,1,1,1,NULL
استند تاپ قسمت 10,14,10,5.88,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استند تاپ قسمت 10,14,10,5.88,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استند تاپ قسمت 11,7,4,3,"استند تاپ ",delete,delete,NULL,NULL,29,11,1,1,NULL
استند تاپ قسمت 12,10,5,2.38,"استند تاپ ",delete,delete,NULL,NULL,29,12,1,1,NULL
استند تاپ قسمت 13,7,4,1.64,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استند تاپ قسمت 13,7,4,1.64,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استند تاپ قسمت 14,7,4,1.51,"استند تاپ ",delete,delete,NULL,NULL,29,14,1,1,NULL
استند تاپ قسمت 15,10,6,1.58,"استند تاپ ",delete,delete,NULL,NULL,29,15,1,1,NULL
استند تاپ قسمت 16,13,5,1.56,"استند تاپ ",delete,delete,NULL,NULL,29,16,1,1,NULL
استند تاپ قسمت 17,7,5,0.94,"استند تاپ ",delete,delete,NULL,NULL,29,17,1,1,NULL
استند تاپ قسمت 18,4,4,0.61,"استند تاپ ",delete,delete,NULL,NULL,29,18,1,1,NULL
استند تاپ قسمت 19,10,8,2.22,"استند تاپ ",delete,delete,NULL,NULL,29,19,1,1,NULL
استند تاپ قسمت 2,66,39,16.92,"استند تاپ ",delete,delete,NULL,NULL,29,2,1,1,NULL
استند تاپ قسمت 20,22,7,3.26,"استند تاپ ",delete,delete,NULL,NULL,29,20,1,1,NULL
استند تاپ قسمت 21,8,6,2.21,"استند تاپ ",delete,delete,NULL,NULL,29,21,1,1,NULL
استند تاپ قسمت 22,10,4,1.79,"استند تاپ ",delete,delete,NULL,NULL,29,22,1,1,NULL
استند تاپ قسمت 23,7,5,1.3,"استند تاپ ",delete,delete,NULL,NULL,29,23,1,1,NULL
استند تاپ قسمت 24,14,8,3.21,"استند تاپ ",delete,delete,NULL,NULL,29,24,1,1,NULL
استند تاپ قسمت 25,13,7,4.41,"استند تاپ ",delete,delete,NULL,NULL,29,25,1,1,NULL
استند تاپ قسمت 26,7,4,1.72,"استند تاپ ",delete,delete,NULL,NULL,29,26,1,1,NULL
استند تاپ قسمت 29,15,11,4.64,"استند تاپ ",delete,delete,NULL,NULL,29,29,1,1,NULL
استند تاپ قسمت 3,29,17,10.48,"استند تاپ ",delete,delete,NULL,NULL,29,3,1,1,NULL
استند تاپ قسمت 4,20,13,5.52,"استند تاپ ",delete,delete,NULL,NULL,29,4,1,1,NULL
استند تاپ قسمت 5,7,6,2.44,"استند تاپ ",delete,delete,NULL,NULL,29,5,1,1,NULL
استند تاپ قسمت 6,10,6,2.63,"استند تاپ ",delete,delete,NULL,NULL,29,6,1,1,NULL
استند تاپ قسمت 7,7,5,2.27,"استند تاپ ",delete,delete,NULL,NULL,29,7,1,1,NULL
استند تاپ قسمت 8,15,8,3.87,"استند تاپ ",delete,delete,NULL,NULL,29,8,1,1,NULL
استند تاپ قسمت 9,9,8,4.96,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استند تاپ قسمت 9,9,8,4.96,NULL,delete,delete,NULL,NULL,29,NULL,NULL,NULL,NULL
استندتاپ قسمت 27,3,3,0.28,"استندتاپ ",delete,delete,NULL,NULL,29,27,1,1,NULL
استندتاپ قسمت 28,8,5,1.15,"استندتاپ ",delete,delete,NULL,NULL,29,28,1,1,NULL
استیو جابز,3,3,3.9,استیو جابز,NULL,آمریکا,1394,7.2,0,0,0,NULL,1
شمعدونی قسمت 1,79,34,20.91,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,1,1,1,NULL
شمعدونی قسمت 10,37,13,8.18,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,10,1,1,NULL
شمعدونی قسمت 11,28,13,7.68,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,11,1,1,NULL
شمعدونی قسمت 12,29,16,6.73,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,12,1,1,NULL
شمعدونی قسمت 13,36,15,7.83,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,13,1,1,NULL
شمعدونی قسمت 14,36,14,8.69,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,14,1,1,NULL
شمعدونی قسمت 15,31,14,6.19,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,15,1,1,NULL
شمعدونی قسمت 16,28,11,4.78,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,16,1,1,NULL
شمعدونی قسمت 17,34,11,7.52,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,17,1,1,NULL
شمعدونی قسمت 18,16,8,5.46,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,18,1,1,NULL
شمعدونی قسمت 19,30,9,6.27,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,19,1,1,NULL
شمعدونی قسمت 2,43,21,15.6,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,2,1,1,NULL
شمعدونی قسمت 20,24,10,5.78,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,20,1,1,NULL
شمعدونی قسمت 21,23,8,5.47,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,21,1,1,NULL
شمعدونی قسمت 22,20,11,4.69,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,22,1,1,NULL
شمعدونی قسمت 23,14,7,4.01,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,23,1,1,NULL
شمعدونی قسمت 24,10,5,2.28,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,24,1,1,NULL
شمعدونی قسمت 25,12,5,2.31,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,25,1,1,NULL
شمعدونی قسمت 26,16,5,2.86,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,26,1,1,NULL
شمعدونی قسمت 27,5,5,1.71,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,27,1,1,NULL
شمعدونی قسمت 28,6,3,0.39,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,28,1,1,NULL
شمعدونی قسمت 29,9,5,2.87,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,29,1,1,NULL
شمعدونی قسمت 3,33,17,8.35,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,3,1,1,NULL
شمعدونی قسمت 30,7,3,2.44,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,30,1,1,NULL
شمعدونی قسمت 4,43,19,11.81,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,4,1,1,NULL
شمعدونی قسمت 5,41,19,12.28,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,5,1,1,NULL
شمعدونی قسمت 6,48,23,10.12,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,6,1,1,NULL
شمعدونی قسمت 7,51,18,8.06,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,7,1,1,NULL
شمعدونی قسمت 8,43,18,12.18,"شمعدونی ","خانوادگی,طنز",ایران,1393,0,48,8,1,1,NULL
شمعدونی قسمت 9,33,11,4.88,شمعدونی,"خانوادگی,طنز",ایران,1393,0,48,9,1,1,NULL
شنود فصل 1 قسمت 1,55,47,16.91,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 1,55,47,16.91,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 1,55,47,16.91,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 1,55,47,16.91,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 10,7,4,3.79,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 10,7,4,3.79,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 10,7,4,3.79,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 10,7,4,3.79,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 11,8,5,2.47,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 11,8,5,2.47,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 11,8,5,2.47,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 11,8,5,2.47,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 12,11,5,2.8,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 12,11,5,2.8,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 12,11,5,2.8,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 12,11,5,2.8,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 13,9,5,2.63,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 13,9,5,2.63,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 13,9,5,2.63,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 13,9,5,2.63,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 2,21,15,6.37,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 2,21,15,6.37,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 2,21,15,6.37,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 2,21,15,6.37,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 3,11,8,4.46,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 3,11,8,4.46,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 3,11,8,4.46,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 3,11,8,4.46,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 4,13,8,4.9,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 4,13,8,4.9,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 4,13,8,4.9,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 4,13,8,4.9,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 5,7,6,3.7,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 5,7,6,3.7,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 5,7,6,3.7,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 5,7,6,3.7,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 6,10,5,3.2,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 6,10,5,3.2,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 6,10,5,3.2,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 6,10,5,3.2,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 7,6,4,2.81,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 7,6,4,2.81,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 7,6,4,2.81,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 7,6,4,2.81,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 8,4,3,2.71,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 8,4,3,2.71,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 8,4,3,2.71,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 8,4,3,2.71,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 9,6,4,2.19,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 9,6,4,2.19,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 9,6,4,2.19,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شنود فصل 1 قسمت 9,6,4,2.19,NULL,هیجان انگیز،درام،جنائی,آمریکا,1380,9.3,NULL,NULL,NULL,NULL,NULL
شهر در امن و امان است,48,20,14.88,شهر در امن و امان است,NULL,ایران,1395,0,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گمشده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گم‌شده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گم‌شده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گم‌شده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گم‌شده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهر گمشده زی,22,12,9.9,شهر گم‌شده زی,ماجراجویی،اکشن,آمریکا,1395,6.6,0,0,0,NULL,1
شهرت,12,4,1.35,شهرت,اجتماعی،خانوادگی,ایران,1379,3.9,0,0,0,NULL,1
شوخی 1 قسمت 1,4,4,0.7,"شوخی 1 ",درام،کمدی,آمریکا,1397,7.9,10,1,1,1,NULL
شوخی 1 قسمت 2,2,2,0.47,"شوخی 1 ",درام،کمدی,آمریکا,1397,7.9,10,2,1,1,NULL
شوخی 1 قسمت 3,1,1,0.38,"شوخی 1 ",درام،کمدی,آمریکا,1397,7.9,10,3,1,1,NULL
شورش ترون قسمت 1 آغاز شورش,10,5,3.1,شورش ترون  آغاز شورش,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,1,1,1,1,NULL
شورش ترون قسمت 2 بهای قدرت 1,3,3,0.24,شورش ترون  بهای قدرت 1,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,4,1,2,1,NULL
شورش ترون قسمت 2 بهای قدرت 2,3,2,0.5,شورش ترون  بهای قدرت 2,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,4,2,2,1,NULL
شورش ترون قسمت 2 بهای قدرت 3,3,2,0.43,شورش ترون  بهای قدرت 3,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,4,3,2,1,NULL
شورش ترون قسمت 2 بهای قدرت 4,2,2,0.46,شورش ترون  بهای قدرت 4,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,4,4,2,1,NULL
شورش ترون قسمت 3 زخم ها,3,2,0.2,شورش ترون  زخم ها,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,0,0,3,1,NULL
شورش ترون قسمت 4 غریبه,6,3,1.14,شورش ترون  غریبه,ماجراجویی،انیمیشن،کودکان,آمریکا,1390,8.2,0,0,4,1,NULL
شوکا-آذربایجان شرقی,3,3,0.11,شوکا-آذربایجان شرقی,انیمیشن،کودکان,ایران,1396,0,0,0,0,NULL,1
شیار143,140,97,39.22,شیار143,درام,ایران,1392,0,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیدا,14,10,6.35,شیدا,درام,ایران,1378,6.4,0,0,0,NULL,1
شیر شاه,130,64,35.57,شیر شاه,NULL,آمریکا,1397,8.5,0,0,0,NULL,1
شیرطلایی,6,5,1.16,شیرطلایی,NULL,هنگ کنگ,1354,6.5,0,0,0,NULL,1
شیفت شب,665,365,201.47,شیفت شب,اجتماعی،خانوادگی,ایران,1395,4.9,0,0,0,NULL,1
صبرکن تا هلن بیاد,44,26,16.66,صبرکن تا هلن بیاد,ترسناک،خانوادگی,کانادا,1395,5,0,0,0,NULL,1
صد فصل 1 قسمت 10,22,14,9.88,"صد ",علمی-تخیلی,آمریکا,1393,7.7,12,10,1,1,NULL
صد فصل 1 قسمت 11,37,14,7.3,"صد ",علمی-تخیلی,آمریکا,1393,7.7,12,11,1,1,NULL
صد فصل 1 قسمت 12,36,13,9.02,"صد ",علمی-تخیلی,آمریکا,1393,7.7,12,12,1,1,NULL
صد فصل 1 قسمت 9,25,13,8.06,"صد ",علمی-تخیلی,آمریکا,1393,7.7,12,9,1,1,NULL
صدا خفه کن,25,8,7.48,صدا خفه کن,اکشن,آمریکا,1397,3.9,0,0,0,NULL,1
صلح شکن,4,4,0.67,صلح شکن,جنایی,چین,1396,6.1,0,0,0,NULL,1
صمد و ممد,314,162,84.21,صمد و ممد,کمدی,ایران,1397,0,0,0,0,NULL,1
طاووسهای بی پر,11,6,3.58,طاووسهای بی پر,اجتماعی،خانوادگی,ایران,1388,0,0,0,0,NULL,1
طبقه حساس,126,48,37.9,طبقه حساس,NULL,ایران,1393,5.7,0,0,0,NULL,1
طرفدار,34,20,14.66,طرفدار,درام,آمریکا,1374,5.8,0,0,0,NULL,1
طرفدار,34,20,14.66,طرفدار,NULL,آمریکا,1374,5.8,0,0,0,NULL,1
طرفدار,34,20,14.66,طرفدار,NULL,آمریکا,1374,5.8,0,0,0,NULL,1
طعم شیرین خیال,14,6,3.66,طعم شیرین خیال,NULL,ایران,1392,0,0,0,0,NULL,1
طعمه,1,1,0.23,طعمه,کمدی،اکشن,آمریکا,1379,5,0,0,0,NULL,1
طعمه,1,1,0.23,طعمه,کمدی،اکشن,آمریکا,1379,5,0,0,0,NULL,1
طعمه,1,1,0.23,طعمه,کمدی،اکشن,آمریکا,1379,5,0,0,0,NULL,1
طعمه,1,1,0.23,طعمه,کمدی،اکشن,آمریکا,1379,5,0,0,0,NULL,1
طعمه,1,1,0.23,طعمه,کمدی،اکشن,آمریکا,1379,5,0,0,0,NULL,1
طلا,22,12,6.41,طلا,"جنایی,ماجراجویی,هیجان‌انگیز","آمریکا ",1395,6.7,0,0,0,NULL,1
طلا,22,12,6.41,طلا,"جنایی,ماجراجویی,هیجان‌انگیز","آمریکا ",1395,6.7,0,0,0,NULL,1
