title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
ماشیناسورها 2 قسمت 8,2,2,0.54,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,8,1,1,NULL
ماشیناسورها 2 قسمت 9,9,6,3.55,"ماشیناسور  ",انیمیشن،اکشن،کمدی,آمریکا,1394,7.3,10,9,1,1,NULL
مامور خوب,285,88,87.39,مامور خوب,اکشن،هیجان انگیز,هند,1397,7.8,0,0,0,NULL,1
ماموریت در تایلند,80,29,20.96,ماموریت در تایلند,NULL,آمریکا,1382,7.1,0,0,0,NULL,1
ماموریت غیر ممکن: سقوط,99,29,41.07,ماموریت غیر ممکن: سقوط,اکشن,آمریکا,1397,7.8,0,0,0,NULL,1
ماموریت نجات,103,58,41.71,ماموریت نجات,NULL,آمریکا,1394,5,0,0,0,NULL,1
مانا,5,4,1.95,مانا,NULL,ایران,1397,0,0,0,0,NULL,1
ماه اوت مه آلود,11,8,9.11,ماه اوت مه آلود,درام،جنایی،اکشن,آمریکا,1395,7.2,0,0,0,NULL,1
ماه و پلنگ قسمت 1,3,2,0.45,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,1,1,1,NULL
ماه و پلنگ قسمت 1,3,2,0.45,"ماه و پلنگ ",اجتماعی،درام,ایران,1393,0,32,1,1,1,NULL
ماه و پلنگ قسمت 2,4,2,0.5,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,2,1,1,NULL
ماه و پلنگ قسمت 2,4,2,0.5,"ماه و پلنگ ",اجتماعی،درام,ایران,1393,0,32,2,1,1,NULL
ماه و پلنگ قسمت 24,1,1,0.05,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,24,1,1,NULL
ماه و پلنگ قسمت 25,1,1,0.02,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,25,1,1,NULL
ماه و پلنگ قسمت 4,1,1,0.5,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,4,1,1,NULL
ماه و پلنگ قسمت 4,1,1,0.5,"ماه و پلنگ ",اجتماعی،درام,ایران,1393,0,32,4,1,1,NULL
ماه و پلنگ قسمت 5,1,1,0.43,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,5,1,1,NULL
ماه و پلنگ قسمت 5,1,1,0.43,"ماه و پلنگ ",اجتماعی،درام,ایران,1393,0,32,5,1,1,NULL
ماه و پلنگ قسمت 6,2,2,0.13,"ماه و پلنگ ",درام،خانوادگی,ایران,1395,6.5,32,6,1,1,NULL
ماه و پلنگ قسمت 6,2,2,0.13,"ماه و پلنگ ",اجتماعی،درام,ایران,1393,0,32,6,1,1,NULL
ماهی بزرگ و بگونیا,19,4,5.31,ماهی بزرگ و بگونیا,انیمیشن،درام,چین,1395,7.1,0,0,0,NULL,1
ماهی دم قرمز,56,39,22.91,ماهی دم قرمز,NULL,ایران,1391,0,0,0,0,NULL,1
ماهی سیاه,3,2,0.45,ماهی سیاه,"درام,مستند",آمریکا,1391,8.1,0,0,0,NULL,1
ماهی سیاه,3,2,0.45,ماهی سیاه,"درام,مستند",آمریکا,1391,8.1,0,0,0,NULL,1
ماهی سیاه,3,2,0.45,ماهی سیاه,"درام,مستند",آمریکا,1391,8.1,0,0,0,NULL,1
مبارز,12,4,5.81,مبارز,درام,آمریکا,1390,8.2,0,0,0,NULL,1
مبارز خیابانی,101,63,38.66,مبارز خیابانی,NULL,آمریکا,1372,3.9,0,0,0,NULL,1
متخاصمان,42,10,10.67,متخاصمان,درام،ماجراجویی،وسترن,آمریکا,1396,7.2,0,0,0,NULL,1
متولد مسابقه,5,5,0.31,متولد مسابقه,اکشن،درام,آمریکا,1397,5.3,0,0,0,NULL,1
مجازاتگر قسمت 1,114,64,33.17,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,1,1,1,NULL
مجازاتگر قسمت 10,39,13,7.84,مجازاتگر 0,درام،جنایی،اکشن,آمریکا,1396,8.6,11,10,1,1,NULL
مجازاتگر قسمت 11,38,15,10.93,مجازاتگر 1,درام،جنایی،اکشن,آمریکا,1396,8.6,11,11,1,1,NULL
مجازاتگر قسمت 2,57,27,16.78,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,2,1,1,NULL
مجازاتگر قسمت 3,36,20,14.24,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,3,1,1,NULL
مجازاتگر قسمت 4,34,15,9.11,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,4,1,1,NULL
مجازاتگر قسمت 5,27,13,10.4,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,5,1,1,NULL
مجازاتگر قسمت 6,22,10,8.15,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,6,1,1,NULL
مجازاتگر قسمت 7,23,12,8.06,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,7,1,1,NULL
مجازاتگر قسمت 8,22,13,6.3,"مجازاتگر ",درام،جنایی،اکشن,آمریکا,1396,8.6,11,8,1,1,NULL
مجازاتگر قسمت 9,27,10,6.58,مجازاتگر,درام،جنایی،اکشن,آمریکا,1396,8.6,11,9,1,1,NULL
مجله آشپزی فلفل(باز کردن خمیر پاستا),3,2,0.32,مجله آشپزی فلفل(باز کردن خمیر پاستا,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(پاناکوتا با سس کرنبری),1,1,0.15,مجله آشپزی فلفل(پاناکوتا با سس کرنبری,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(پیتزا سینه مرغ کبابی),3,1,0.19,مجله آشپزی فلفل(پیتزا سینه مرغ کبابی,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(روش درست کردن خمیر پاستا),2,2,2.48,مجله آشپزی فلفل(روش درست کردن خمیر پاستا,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(کاپ کیک کانولی),3,2,0.35,مجله آشپزی فلفل(کاپ کیک کانولی,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(گوشت ویلینگتون),2,1,0.39,مجله آشپزی فلفل(گوشت ویلینگتون,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(مرغ تنوری  با سیب زمینی),1,1,0.15,مجله آشپزی فلفل(مرغ تنوری  با سیب زمینی,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(موساچولی),1,1,0.16,مجله آشپزی فلفل(موساچولی,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(میت لوف بوقلمون),1,1,0.09,مجله آشپزی فلفل(میت لوف بوقلمون,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
مجله آشپزی فلفل(نان پپرونی),1,1,0.07,مجله آشپزی فلفل(نان پپرونی,خانوادگی،آموزشی,انگلیس,1396,0,0,0,0,NULL,1
محافظین کهکشان,48,27,18.19,محافظین کهکشان,NULL,آمریکا,1393,8.1,0,0,0,NULL,1
محاکمه,11,7,2.23,محاکمه,NULL,ایران,1394,1,0,0,0,NULL,1
محبت و خشونت,83,42,20.12,محبت و خشونت,NULL,هند,1371,5.9,0,0,0,NULL,1
محرم ملکوت,1,1,0.45,محرم ملکوت,مستند,ایران,1394,0,0,0,0,NULL,1
محموله,5,4,4.11,محموله,NULL,"آمریکا ",1395,6.3,0,0,0,NULL,1
محیا,48,23,25.3,محیا,عاشقانه,ایران,1387,5.6,0,0,0,NULL,1
مدال,4,3,3.66,مدال,NULL,آمریکا,1382,5.2,0,0,0,NULL,1
مدرسه جاسوسی,4,3,1.43,مدرسه جاسوسی,کمدی،درام،ماجراجویی,آمریکا,1387,0,0,0,0,NULL,1
برادران کری: مرد مرده راه میرود,4,4,2.09,برادران کری: مرد مرده راه میرود,اکشن، جنایی,انگلیس,1396,2.7,0,0,0,NULL,1
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
براون,36,27,15.83,NULL,درام،اکشن,کانادا,1397,6.1,NULL,NULL,NULL,NULL,NULL
برای همیشه,39,21,11.89,برای همیشه,NULL,آمریکا,1377,7,0,0,0,NULL,1
برخورد خیلی نزدیک,3,2,2.53,برخورد خیلی نزدیک,NULL,ایران,1388,0,0,0,0,NULL,1
برو بیرون,63,41,20.81,برو بیرون,"رازآلود ,هیجان‌انگیز,وحشت",آمریکا,1396,7.7,0,0,0,NULL,1
برو بیرون,63,41,20.81,برو بیرون,"رازآلود ,هیجان‌انگیز,وحشت",آمریکا,1396,7.7,0,0,0,NULL,1
برو بیرون,63,41,20.81,برو بیرون,"رازآلود ,هیجان‌انگیز,وحشت",آمریکا,1396,7.7,0,0,0,NULL,1
برو بیرون,63,41,20.81,برو بیرون,"رازآلود ,هیجان‌انگیز,وحشت",آمریکا,1396,7.7,0,0,0,NULL,1
برو بیرون,63,41,20.81,برو بیرون,"رازآلود ,هیجان‌انگیز,وحشت",آمریکا,1396,7.7,0,0,0,NULL,1
برونسون,6,5,2.29,برونسون,اکشن,انگلیس,1386,7.1,0,0,0,NULL,1
بزنگاه قسمت 1,68,37,19.41,"بزنگاه ",کمدی,ایران,1386,0,25,1,1,1,NULL
بزنگاه قسمت 10,67,32,17.99,"بزنگاه ",کمدی,ایران,1386,0,25,10,1,1,NULL
بزنگاه قسمت 11,47,26,12.19,"بزنگاه ",کمدی,ایران,1386,0,25,11,1,1,NULL
بزنگاه قسمت 12,50,27,16.65,"بزنگاه ",کمدی,ایران,1386,0,25,12,1,1,NULL
بزنگاه قسمت 13,61,35,18.55,"بزنگاه ",کمدی,ایران,1386,0,25,13,1,1,NULL
بزنگاه قسمت 14,71,43,29.78,"بزنگاه ",کمدی,ایران,1386,0,25,14,1,1,NULL
بزنگاه قسمت 15,62,29,20.48,"بزنگاه ",کمدی,ایران,1386,0,25,15,1,1,NULL
بزنگاه قسمت 16,57,31,22.23,"بزنگاه ",کمدی,ایران,1386,0,25,16,1,1,NULL
بزنگاه قسمت 17,64,38,24.02,"بزنگاه ",کمدی,ایران,1386,0,25,17,1,1,NULL
بزنگاه قسمت 18,77,34,23.86,"بزنگاه ",کمدی,ایران,1386,0,25,18,1,1,NULL
بزنگاه قسمت 19,67,37,22.03,"بزنگاه ",کمدی,ایران,1386,0,25,19,1,1,NULL
بزنگاه قسمت 2,63,32,18.36,"بزنگاه ",کمدی,ایران,1386,0,25,2,1,1,NULL
بزنگاه قسمت 20,92,49,36.7,"بزنگاه ",کمدی,ایران,1386,0,25,20,1,1,NULL
بزنگاه قسمت 21,71,42,27.54,"بزنگاه ",کمدی,ایران,1386,0,25,21,1,1,NULL
بزنگاه قسمت 22,68,41,30.35,"بزنگاه ",کمدی,ایران,1386,0,25,22,1,1,NULL
بزنگاه قسمت 23,68,41,26.1,"بزنگاه ",کمدی,ایران,1386,0,25,23,1,1,NULL
بزنگاه قسمت 24,63,40,26.13,"بزنگاه ",کمدی,ایران,1386,0,25,24,1,1,NULL
بزنگاه قسمت 25,72,49,29.25,"بزنگاه ",کمدی,ایران,1386,0,25,25,1,1,NULL
بزنگاه قسمت 3,59,34,18.99,"بزنگاه ",کمدی,ایران,1386,0,25,3,1,1,NULL
بزنگاه قسمت 4,75,34,19.93,"بزنگاه ",کمدی,ایران,1386,0,25,4,1,1,NULL
بزنگاه قسمت 5,68,32,19.08,"بزنگاه ",کمدی,ایران,1386,0,25,5,1,1,NULL
بزنگاه قسمت 6,66,27,17.34,"بزنگاه ",کمدی,ایران,1386,0,25,6,1,1,NULL
بزنگاه قسمت 7,71,26,20.35,"بزنگاه ",کمدی,ایران,1386,0,25,7,1,1,NULL
